file_name	latitude	longitude	region	location	x_coordinate	y_coordinate
6_Spain_Pinsapo_Forest_Dawn.mp3 	36.66732713	-5.038332612	 Spain	 Parque Nacional Sierra de las Nieves	373	265
4_Tasmania_Old_Growth_Forest.mp3 	-41.42209943	145.9644388	 Tasmania	 Leven River Valley	700	479
2_Malaysia_Merapoh_Rainforest_Night.mp3 	4.661519963	102.1187977	 Malaysia	 Taman Negara	597	350
1_Nepal_Langtang_River.mp3 	28.17176119	85.4373675	 Nepal	 Langtang National Park	563	294
Creek-and-birds-in-Zagreb.mp3 	45.925104	16.018262	 Croatia	 Zagreb	413	243
Crackly-campifire-in-Voloderac.mp3 	45.553984	16.700048	 Croatia	 Voloder	416	248
22-Dawn-some-insects-birds-distant-sea-waves-Trindade-Brazil.mp3 	-23.05381	-44.650632	 Brazil	 Serra da Bocaina Reserve	270	426
19-Night-fire-bonfire-distant-crickets-a-few-birds.mp3 	5.228953	-73.836216	 Colombia	 Farallones De Sutatausa	211	360
Australia-Bushland-Afternoon.mp3 	-31.3396875	151.8525625	 Australia	 Mummel Gulf National Park	710	437
Australia-Tall-Eucalypt-Forest.mp3 	-31.8534217	151.5172457	 Australia	 Barrington Tops	703	451
Java-Mountain-Stream-at-Night.mp3 	-6.702511	106.5227	 Indonesia	 Gunung Halimun National Park	616	386
Thailand-Wetland.mp3 	8.4501414	98.5255317	 Thailand	 Sri Phang Nga National Park	594	341
Thailand-Tropical-Woodland.mp3 	15.6086432	99.320848	 Thailand	 Huai Kha Khaeng Wildlife Sanctuary	597	324
Evening-in-the-mountains-of-Thailand.mp3 	19.9966004	99.144325	 Thailand	 Doi Pha Hom Pok National Park	596	315
Rainforest-sounds-Calm-creek-in-the-jungle.mp3 	9.49125	-83.912083	 Costa Rica	 San José Province	186	337
Dusk-by-the-river-in-the-Amazon-rainforest-Jungle-sounds.mp3 	-11.581056	-70.666694	 Peru	 Reserva territorial Madre de Dios	217	395
Beautiful-birdsong-in-the-African-savanna.mp3 	-22.821778	28.079361	 South Africa	 Lephalale Local Municipality	420	443
Calm-rain-in-the-Amazon-jungle-rainforest-sounds.mp3 	-11.581056	-70.666694	 Peru	 Reserva territorial Madre de Dios	217	398
